Match_Status,RefId,LocalDate,paymentMethod1,Item_SubTotal,Order_SubTotal,SubTotal_Difference,Item_Discount,Order_Discount,Discount_Difference,Item_Total,Order_Total,Total_Difference,Item_Tax,Order_Tax,Tax_Difference,Is_Anomaly
❌ Anomaly,0ccc586d-2b58-404c-87c0-c35accfbf3ce,2026-03-11,BCA,125000.0,125000.0,0.0,0.0,0.0,0.0,102272.73,125000.0,-22727.27,11363.64,11363.64,0.0,true
❌ Anomaly,11c634d2-16d6-4519-89d7-6f748ab49267,2026-03-11,GrabFood - Delivery,50000.0,50000.0,0.0,0.0,0.0,0.0,40908.0,50000.0,-9092.0,4546.0,4546.0,0.0,true
❌ Anomaly,1b418693-6bd8-4b19-be3e-1ae770975643,2026-03-11,Shopeepay (Eksternal QRIS),27263.64,27263.64,0.0,19100.0,17363.64,1736.36,6363.64,9900.0,-3536.36,900.0,900.0,0.0,true
❌ Anomaly,1f2f3352-b311-4727-9184-908ae85410d9,2026-03-11,GoFood - Delivery,50000.0,50000.0,0.0,0.0,0.0,0.0,40684.68,50000.0,-9315.32,4657.66,4657.66,0.0,true
❌ Anomaly,2cc63bee-a2a7-4c96-8380-9f1f944b9830,2026-03-11,ShopeeFood,65636.36,65636.36,0.0,0.0,23636.36,-23636.36,58000.0,42000.0,16000.0,3818.18,3818.18,0.0,true
❌ Anomaly,2d19e925-0516-4808-aedb-70d5331887de,2026-03-11,BCA,70000.0,70000.0,0.0,0.0,30000.0,-30000.0,62727.27,40000.0,22727.27,3636.36,3636.36,0.0,true
❌ Anomaly,3e7954b4-811e-4dcf-a863-8ff94291bcce,2026-03-11,BCA,99000.0,99000.0,0.0,0.0,0.0,0.0,81000.0,99000.0,-18000.0,9000.0,9000.0,0.0,true
❌ Anomaly,3ea8d8e6-47d4-4ea0-9040-738704320baa,2026-03-11,BCA,22000.0,22000.0,0.0,0.0,0.0,0.0,18000.0,22000.0,-4000.0,2000.0,2000.0,0.0,true
❌ Anomaly,77ba01fd-f69d-4778-8927-06cb0f8d24c2,2026-03-11,GoFood - Delivery,166243.24,166243.24,0.0,83400.0,83400.0,0.0,59455.86,82843.24,-23387.39,11693.69,11693.69,0.0,true
❌ Anomaly,86c760a6-110e-4641-bb7c-3f54b751f6fc,2026-03-11,BCA,60363.64,60363.64,0.0,0.0,26363.64,-26363.64,54181.82,34000.0,20181.82,3090.91,3090.91,0.0,true
❌ Anomaly,9973dd58-1df1-4db0-8f91-366a7b2adc6d,2026-03-11,GoFood - Delivery,168000.0,168000.0,0.0,40000.0,40000.0,0.0,95693.69,128000.0,-32306.31,16153.15,16153.15,0.0,true
❌ Anomaly,b97571f6-7b89-40b5-8bdf-e0479bd61dbb,2026-03-11,BCA,29000.0,29000.0,0.0,0.0,0.0,0.0,23727.27,29000.0,-5272.73,2636.36,2636.36,0.0,true
❌ Anomaly,c82793a6-0452-44b8-82c0-4f10ae344a24,2026-03-11,Shopeepay (Eksternal QRIS),27263.64,27263.64,0.0,19100.0,17363.64,1736.36,6363.64,9900.0,-3536.36,900.0,900.0,0.0,true
❌ Anomaly,cb0da418-ce7d-49db-b25d-5c5f9beeed30,2026-03-11,BCA,34000.0,34000.0,0.0,0.0,0.0,0.0,27818.18,34000.0,-6181.82,3090.91,3090.91,0.0,true
❌ Anomaly,d5cd22bf-4047-47a8-ac61-5064a3f2dec5,2026-03-11,GoFood - Delivery,137000.0,137000.0,0.0,39600.0,39600.0,0.0,71237.84,97400.0,-26162.16,13081.08,13081.08,0.0,true
❌ Anomaly,d608a9ca-2d87-4a57-baeb-fd4593784b25,2026-03-11,GoFood - Delivery,60000.0,60000.0,0.0,0.0,0.0,0.0,48702.7,60000.0,-11297.3,5648.65,5648.65,0.0,true
❌ Anomaly,d7ff4916-7f50-4f32-8619-09e4b7bd00fc,2026-03-11,GoFood - Delivery,45000.0,45000.0,0.0,0.0,0.0,0.0,36675.68,45000.0,-8324.32,4162.16,4162.16,0.0,true
❌ Anomaly,eae2e134-e243-49bf-8e0a-1688b573d28e,2026-03-11,GoFood - Delivery,83000.0,83000.0,0.0,24000.0,24000.0,0.0,43144.14,59000.0,-15855.86,7927.93,7927.93,0.0,true
❌ Anomaly,02fa0263-0e88-4c3e-ad40-abf6f47367ac,2026-03-10,ShopeeFood,173909.09,173909.09,0.0,0.0,20909.09,-20909.09,146090.91,153000.0,-6909.09,13909.09,13909.09,0.0,true
❌ Anomaly,0bfc10c0-90c8-47cd-b892-42945c7e4802,2026-03-10,GoFood - Delivery,80000.0,80000.0,0.0,23100.0,23100.0,0.0,41638.74,56900.0,-15261.26,7630.63,7630.63,0.0,true
❌ Anomaly,0c1cd865-8c5d-402a-b727-f6599837719e,2026-03-10,ShopeeFood,81000.0,81000.0,0.0,0.0,0.0,0.0,66272.73,81000.0,-14727.27,7363.64,7363.64,0.0,true
❌ Anomaly,0fe5d633-4d88-4a9f-835f-503c8dc9bc98,2026-03-10,GoFood - Delivery,45000.0,45000.0,0.0,0.0,0.0,0.0,36675.68,45000.0,-8324.32,4162.16,4162.16,0.0,true
❌ Anomaly,1292b60b-e288-4768-8cec-813eddd3eac3,2026-03-10,Other,65454.55,65454.55,0.0,72000.0,65454.55,6545.45,-6545.45,0.0,-6545.45,0.0,0.0,0.0,true
