order_id,order_detail_id,parent_order_detail_id,product_id,product_name,product_generic_name,product_type,product_variant_id,product_variant_name,product_modifier_id,product_modifier_name,order_type,notes,vendor,sku,fulfillment_status,quantity,base_price,total_order_amount,subtotal,net_commission,additional_charge,discount_amount,discount_percentage,discount_order_amount,taxable,tax_percentage,tax_amount,require_shipping,weight,weight_quantity,type,track_inventory,modifier_product_type,modifier_product_id,modifier_product_sku,modifier_product_quantity,modifier_product_composites,product_composites,product_combos,promotions,discounts,unit_used,serial_numbers,cogs,server_name,server_phone_number,ean,sequence,unit_measurement,outlet_id
56d114f0-f128-437c-8a24-7c42f41e42f5,78bf62e8-a96d-420a-96ca-c4d7c9208ce6,,19a238b0-ddf9-4bb9-b220-f7462e9c78a2,Signature Matcha,Signature Matcha,Non Coffee,,,,,,,,NCE0092,fulfilled,1.0,35000.0,31531.531531531531,36560.966907501563,,1560.9669075015609,0.0,,0.0,true,11.0,3468.4684684684685,false,,,standard,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
56d114f0-f128-437c-8a24-7c42f41e42f5,3c2cbbc6-6df6-45bc-81d3-5fa685ed9bac,78bf62e8-a96d-420a-96ca-c4d7c9208ce6,19a238b0-ddf9-4bb9-b220-f7462e9c78a2,Seasalt Foam,Seasalt Foam,,,,18b39e63-29ba-49d9-bc51-c37e9149a96d,Seasalt Foam,,,,NCE0092,fulfilled,1.0,6000.0,5405.405405405405,6267.5943270002672,,267.59432700026758,0.0,,0.0,true,11.0,594.59459459459458,false,,,,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
56d114f0-f128-437c-8a24-7c42f41e42f5,8e714de5-4922-494a-beff-9e7fc74a20d7,78bf62e8-a96d-420a-96ca-c4d7c9208ce6,19a238b0-ddf9-4bb9-b220-f7462e9c78a2,Fresh Milk,Fresh Milk,,,,230b705b-f5d5-4abc-a154-a72686596cd9,Fresh Milk,,,,NCE0092,fulfilled,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,true,11.0,0.0,false,,,,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
56d114f0-f128-437c-8a24-7c42f41e42f5,7bdd8bdd-966a-4b19-98ef-26d0a441dc11,78bf62e8-a96d-420a-96ca-c4d7c9208ce6,19a238b0-ddf9-4bb9-b220-f7462e9c78a2,Less Sweet,Less Sweet,,,,6566fd2f-a109-a47f-e6df-e1e66c950806,Less Sweet,,,,NCE0092,fulfilled,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,true,11.0,0.0,false,,,,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
56d114f0-f128-437c-8a24-7c42f41e42f5,a46b43f3-ff44-4634-be27-6fb44cc1480c,78bf62e8-a96d-420a-96ca-c4d7c9208ce6,19a238b0-ddf9-4bb9-b220-f7462e9c78a2,Signature Matcha ICED/L,Signature Matcha ICED/L,,,,eb74496d-ed42-6a7b-5e3b-282b69355b2b,Signature Matcha ICED/L,,,,NCE0092,fulfilled,1.0,13000.0,11711.711711711712,13579.78770850058,,579.78770850057981,0.0,,0.0,true,11.0,1288.2882882882882,false,,,composite,false,composite,97160373-5b15-4c63-88e3-5ad34815f102,NCE0092-ICED-L,1.0,"[{""product_id"": ""7d71fecc-4fb6-420c-b862-73bf97bfae61"", ""product_sku"": ""RAW001"", ""product_name"": ""BOM TEST"", ""variant_name"": """", ""quantity"": 1.0}]",,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
56d114f0-f128-437c-8a24-7c42f41e42f5,b103a41b-aaba-4800-b954-5ff88b158493,,b45388bd-40b9-4efe-9fa3-46719b14badb,Ovomaltine Flash Bread,Ovomaltine Flash Bread,Sweet,,,,,,,,FOD0033,fulfilled,1.0,21000.0,18918.91891891892,21936.580144500938,,936.58014450093663,0.0,,0.0,true,11.0,2081.0810810810813,false,,,composite,false,,,,,[],"[{""product_id"": ""7d71fecc-4fb6-420c-b862-73bf97bfae61"", ""product_sku"": null, ""product_name"": ""BOM TEST"", ""variant_name"": """", ""quantity"": 21.0}]",,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
56d114f0-f128-437c-8a24-7c42f41e42f5,5a5d2142-af67-4525-8d2d-d3c3d45d369b,,eadfd223-ff44-4210-a181-44f73aa6cd6d,Pistachio Kunafa Danish,Pistachio Kunafa Danish,Sweet,,,,,,,,FOD0774,fulfilled,1.0,26000.0,23423.423423423425,27159.575417001161,,1159.5754170011596,0.0,,0.0,true,11.0,2576.5765765765764,false,,,composite,false,,,,,[],"[{""product_id"": ""7d71fecc-4fb6-420c-b862-73bf97bfae61"", ""product_sku"": null, ""product_name"": ""BOM TEST"", ""variant_name"": """", ""quantity"": 2.0}]",,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
4e5c8a46-9697-4c4d-9d00-2e005bb7df54,de65b913-0397-4301-ac18-475303b54171,,7911ae18-5f54-46c8-95b5-dbf515ec7c43,Americano,Americano,Coffee,,,,,,,,ESL0001,fulfilled,1.0,24000.0,21621.62162162162,25544.401544401546,,1544.4015444015445,0.0,,0.0,true,11.0,2378.3783783783783,false,,,standard,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
4e5c8a46-9697-4c4d-9d00-2e005bb7df54,4cad0e2f-6c85-4fe0-ba10-15cf888ace15,de65b913-0397-4301-ac18-475303b54171,7911ae18-5f54-46c8-95b5-dbf515ec7c43,2 Shots Custom Blend,2 Shots Custom Blend,,,,293a24f8-8edc-45f4-979b-6eea77726dfe,2 Shots Custom Blend,,,,ESL0001,fulfilled,1.0,8000.0,7207.2072072072069,8514.8005148005141,,514.80051480051475,0.0,,0.0,true,11.0,792.79279279279274,false,,,,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
4e5c8a46-9697-4c4d-9d00-2e005bb7df54,c3b55761-b691-40fc-98ed-f9f997845654,de65b913-0397-4301-ac18-475303b54171,7911ae18-5f54-46c8-95b5-dbf515ec7c43,Custom Blend,Custom Blend,,,,3ec00678-1165-c677-4295-6f1ba00dbb00,Custom Blend,,,,ESL0001,fulfilled,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,true,11.0,0.0,false,,,,false,,,,,[],,,[],[],,[],,,,,0,,bda285b5-c919-4fbb-b5de-8363a9d4465b
